tract,gsmn_math_g3_2013,,Census Tract,,
18402,3.5109453,,184.02,18402,TRUE
18403,3.0629818,,184.03,18403,TRUE
18501,3.0629818,,185.01,18501,TRUE
18503,3.7934477,,185.03,18503,TRUE
18505,3.7934477,,185.05,18505,TRUE
18506,3.2620082,,185.06,18506,TRUE
18600,3.5109453,,186,18600,TRUE
18700,3.5109453,,187,18700,TRUE
18801,3.5109453,,188.01,18801,TRUE
18802,3.5109453,,188.02,18802,TRUE
18900,3.5109453,,189,18900,TRUE
19004,3.7934477,,190.04,19004,TRUE
19013,3.5109453,,190.13,19013,TRUE
19014,3.5109453,,190.14,19014,TRUE
19016,3.7934477,,190.16,19016,TRUE
19018,3.7934477,,190.18,19018,TRUE
19019,3.7934477,,190.19,19019,TRUE
19020,3.5109453,,190.2,19020,TRUE
19021,3.5109453,,190.21,19021,TRUE
19023,3.7934477,,190.23,19023,TRUE
19024,3.7934477,,190.24,19024,TRUE
19025,3.5109453,,190.25,19025,TRUE
19026,3.5109453,,190.26,19026,TRUE
19027,3.5109453,,190.27,19027,TRUE
19028,3.5109453,,190.28,19028,TRUE
19029,3.5109453,,190.29,19029,TRUE
19031,3.6182127,,190.31,19031,TRUE
19032,3.5109453,,190.32,19032,TRUE
19033,3.5109453,,190.33,19033,TRUE
19034,3.7934477,,190.34,19034,TRUE
19035,3.7934477,,190.35,19035,TRUE
19036,3.7934477,,190.36,19036,TRUE
19037,3.7934477,,190.37,19037,TRUE
19038,3.7934477,,190.38,19038,TRUE
19039,3.7934477,,190.39,19039,TRUE
19040,3.7934477,,190.4,19040,TRUE
19041,3.7934477,,190.41,19041,TRUE
19042,3.6182127,,190.42,19042,TRUE
19043,3.5109453,,190.43,19043,TRUE
19100,3.7934477,,191,19100,TRUE
19202,3.7934477,,192.02,19202,TRUE
19203,3.7934477,,192.03,19203,TRUE
19204,3.7934477,,192.04,19204,TRUE
19205,3.7934477,,192.05,19205,TRUE
19206,3.7934477,,192.06,19206,TRUE
19208,3.7934477,,192.08,19208,TRUE
19210,3.7934477,,192.1,19210,TRUE
19211,3.7934477,,192.11,19211,TRUE
19212,3.7934477,,192.12,19212,TRUE
19213,3.7934477,,192.13,19213,TRUE
19301,5.9205317,,193.01,19301,TRUE
19302,3.774493,,193.02,19302,TRUE
19400,5.9205317,,194,19400,TRUE
19501,5.9205317,,195.01,19501,TRUE
19502,5.9205317,,195.02,19502,TRUE
19600,3.774493,,196,19600,TRUE
19700,3.774493,,197,19700,TRUE
19800,3.774493,,198,19800,TRUE
19900,2.356993,,199,19900,TRUE
20000,3.9298503,,200,20000,TRUE
20100,2.3071566,,201,20100,TRUE
20200,2.356993,,202,20200,TRUE
20300,2.356993,,203,20300,TRUE
20400,2.356993,,204,20400,TRUE
20500,2.356993,,205,20500,TRUE
20600,2.356993,,206,20600,TRUE
20700,2.8371131,,207,20700,TRUE
980000,3.2866244,,9800,980000,TRUE
980100,2.356993,,9801,980100,TRUE
20103,3.3243864,,201.03,20103,TRUE
20104,4.0645409,,201.04,20104,TRUE
20105,3.6142154,,201.05,20105,TRUE
20106,3.6142154,,201.06,20106,TRUE
20107,3.5271807,,201.07,20107,TRUE
20108,4.0684748,,201.08,20108,TRUE
20109,5.0522952,,201.09,20109,TRUE
20110,5.0522952,,201.1,20110,TRUE
20111,5.0522952,,201.11,20111,TRUE
20112,4.302043,,201.12,20112,TRUE
20113,4.302043,,201.13,20113,TRUE
20114,4.302043,,201.14,20114,TRUE
20115,3.5271807,,201.15,20115,TRUE
20202,3.6898954,,202.02,20202,TRUE
20203,4.129498,,202.03,20203,TRUE
20204,4.2015476,,202.04,20204,TRUE
20205,3.7992344,,202.05,20205,TRUE
20303,3.6582716,,203.03,20303,TRUE
20305,3.5395939,,203.05,20305,TRUE
20306,3.6802723,,203.06,20306,TRUE
20307,3.6102285,,203.07,20307,TRUE
20308,3.6802723,,203.08,20308,TRUE
20309,3.6058323,,203.09,20309,TRUE
20310,3.4029036,,203.1,20310,TRUE
20401,3.6148071,,204.01,20401,TRUE
20402,3.4673469,,204.02,20402,TRUE
20403,3.4673469,,204.03,20403,TRUE
20503,3.4673469,,205.03,20503,TRUE
20504,3.4673469,,205.04,20504,TRUE
20505,3.4673469,,205.05,20505,TRUE
20506,3.6142154,,205.06,20506,TRUE
20601,3.4673469,,206.01,20601,TRUE
20602,3.4673469,,206.02,20602,TRUE
20700,3.4673469,,207,20700,TRUE
20800,3.4673469,,208,20800,TRUE
20900,3.4673469,,209,20900,TRUE
21000,3.4673469,,210,21000,TRUE
21100,3.4673469,,211,21100,TRUE
21201,3.4673469,,212.01,21201,TRUE
21202,3.4673469,,212.02,21202,TRUE
21301,3.4673469,,213.01,21301,TRUE
21303,3.4673469,,213.03,21303,TRUE
21304,3.6368873,,213.04,21304,TRUE
21305,3.4673469,,213.05,21305,TRUE
21403,3.6489351,,214.03,21403,TRUE
21404,3.793164,,214.04,21404,TRUE
21405,3.4673469,,214.05,21405,TRUE
21406,3.6368873,,214.06,21406,TRUE
21407,3.4673469,,214.07,21407,TRUE
21408,3.793164,,214.08,21408,TRUE
21409,3.793164,,214.09,21409,TRUE
21502,3.7240911,,215.02,21502,TRUE
21505,3.3705051,,215.05,21505,TRUE
21512,3.5177853,,215.12,21512,TRUE
21513,3.7240911,,215.13,21513,TRUE
21514,3.3705051,,215.14,21514,TRUE
21515,4.0116429,,215.15,21515,TRUE
21516,4.0116429,,215.16,21516,TRUE
21517,3.3705051,,215.17,21517,TRUE
21518,3.3705051,,215.18,21518,TRUE
21519,3.3705051,,215.19,21519,TRUE
21520,3.3705051,,215.2,21520,TRUE
21521,3.3705051,,215.21,21521,TRUE
21522,4.2468576,,215.22,21522,TRUE
21523,3.3705051,,215.23,21523,TRUE
21524,4.2468576,,215.24,21524,TRUE
21525,5.0522952,,215.25,21525,TRUE
21526,5.0522952,,215.26,21526,TRUE
21527,5.0522952,,215.27,21527,TRUE
21611,3.4598305,,216.11,21611,TRUE
21612,3.4598305,,216.12,21612,TRUE
21613,3.4598305,,216.13,21613,TRUE
21614,3.4598305,,216.14,21614,TRUE
21615,3.4598305,,216.15,21615,TRUE
21616,3.4060822,,216.16,21616,TRUE
21618,3.3705051,,216.18,21618,TRUE
21619,3.3705051,,216.19,21619,TRUE
21620,3.3705051,,216.2,21620,TRUE
21621,3.4060822,,216.21,21621,TRUE
21622,3.4060822,,216.22,21622,TRUE
21623,3.3705051,,216.23,21623,TRUE
21624,3.3705051,,216.24,21624,TRUE
21625,3.3705051,,216.25,21625,TRUE
21626,3.3705051,,216.26,21626,TRUE
21627,3.3705051,,216.27,21627,TRUE
21628,3.3705051,,216.28,21628,TRUE
21629,3.3705051,,216.29,21629,TRUE
21630,3.4060822,,216.3,21630,TRUE
21631,3.4060822,,216.31,21631,TRUE
21632,3.4060822,,216.32,21632,TRUE
21633,3.4060822,,216.33,21633,TRUE
21634,3.4060822,,216.34,21634,TRUE
21635,3.4598305,,216.35,21635,TRUE
21636,3.4598305,,216.36,21636,TRUE
21637,3.4598305,,216.37,21637,TRUE
21638,3.4598305,,216.38,21638,TRUE
21715,3.3705051,,217.15,21715,TRUE
21716,3.3705051,,217.16,21716,TRUE
21717,3.3705051,,217.17,21717,TRUE
21718,3.6368873,,217.18,21718,TRUE
21719,3.4152205,,217.19,21719,TRUE
21720,3.3705051,,217.2,21720,TRUE
21721,3.3705051,,217.21,21721,TRUE
21722,3.3705051,,217.22,21722,TRUE
21723,3.3705051,,217.23,21723,TRUE
21724,3.3705051,,217.24,21724,TRUE
21725,3.3705051,,217.25,21725,TRUE
21726,3.3705051,,217.26,21726,TRUE
21727,3.3705051,,217.27,21727,TRUE
21728,3.3705051,,217.28,21728,TRUE
21729,3.3705051,,217.29,21729,TRUE
21730,3.3705051,,217.3,21730,TRUE
21731,3.3705051,,217.31,21731,TRUE
21732,3.3705051,,217.32,21732,TRUE
21733,3.3705051,,217.33,21733,TRUE
21734,3.3705051,,217.34,21734,TRUE
21735,3.3705051,,217.35,21735,TRUE
21736,3.3705051,,217.36,21736,TRUE
21737,3.3705051,,217.37,21737,TRUE
21738,3.3705051,,217.38,21738,TRUE
21739,3.3705051,,217.39,21739,TRUE
21740,3.3705051,,217.4,21740,TRUE
21741,3.3705051,,217.41,21741,TRUE
21742,3.3705051,,217.42,21742,TRUE
21743,3.3705051,,217.43,21743,TRUE
21744,3.3705051,,217.44,21744,TRUE
21745,3.3705051,,217.45,21745,TRUE
21746,3.4152205,,217.46,21746,TRUE
21747,3.3705051,,217.47,21747,TRUE
21748,3.3705051,,217.48,21748,TRUE
21749,3.3705051,,217.49,21749,TRUE
21750,3.3705051,,217.5,21750,TRUE
21751,3.3705051,,217.51,21751,TRUE
21752,3.3705051,,217.52,21752,TRUE
21753,3.3705051,,217.53,21753,TRUE
21800,4.2468576,,218,21800,TRUE
21900,5.0522952,,219,21900,TRUE
100101,2.2983055,,1001.01,100101,TRUE
100102,2.2983055,,1001.02,100102,TRUE
100201,2.2983055,,1002.01,100201,TRUE
100202,2.2983055,,1002.02,100202,TRUE
100300,2.6500244,,1003,100300,TRUE
100400,2.5759275,,1004,100400,TRUE
100501,2.5759275,,1005.01,100501,TRUE
100502,2.6596093,,1005.02,100502,TRUE
100601,3.0204785,,1006.01,100601,TRUE
100602,2.728524,,1006.02,100602,TRUE
100700,2.55655,,1007,100700,TRUE
100800,2.2983055,,1008,100800,TRUE
100900,2.2983055,,1009,100900,TRUE
101201,3.0519736,,1012.01,101201,TRUE
101202,2.2983055,,1012.02,101202,TRUE
101301,2.2983055,,1013.01,101301,TRUE
101302,2.2983055,,1013.02,101302,TRUE
101401,2.2983055,,1014.01,101401,TRUE
101402,2.2983055,,1014.02,101402,TRUE
101403,2.2983055,,1014.03,101403,TRUE
101500,2.2983055,,1015,101500,TRUE
101700,2.2983055,,1017,101700,TRUE
102000,2.2983055,,1020,102000,TRUE
102100,2.2983055,,1021,102100,TRUE
102201,2.2983055,,1022.01,102201,TRUE
102202,2.2983055,,1022.02,102202,TRUE
102301,2.5901282,,1023.01,102301,TRUE
102302,2.2983055,,1023.02,102302,TRUE
102401,2.2983055,,1024.01,102401,TRUE
102402,2.2983055,,1024.02,102402,TRUE
102500,2.2983055,,1025,102500,TRUE
102601,2.2983055,,1026.01,102601,TRUE
102602,2.2983055,,1026.02,102602,TRUE
102700,2.2983055,,1027,102700,TRUE
102800,2.2983055,,1028,102800,TRUE
103500,2.2983055,,1035,103500,TRUE
103601,2.2983055,,1036.01,103601,TRUE
103602,2.2983055,,1036.02,103602,TRUE
103701,2.2983055,,1037.01,103701,TRUE
103702,2.2983055,,1037.02,103702,TRUE
103800,2.2983055,,1038,103800,TRUE
104100,2.2983055,,1041,104100,TRUE
104201,2.2983055,,1042.01,104201,TRUE
104202,2.2983055,,1042.02,104202,TRUE
104300,2.2983055,,1043,104300,TRUE
104400,2.2983055,,1044,104400,TRUE
104502,2.2983055,,1045.02,104502,TRUE
104503,2.2983055,,1045.03,104503,TRUE
104504,2.2983055,,1045.04,104504,TRUE
104505,2.2983055,,1045.05,104505,TRUE
104601,2.2983055,,1046.01,104601,TRUE
104602,2.2983055,,1046.02,104602,TRUE
104603,2.2983055,,1046.03,104603,TRUE
104604,2.2983055,,1046.04,104604,TRUE
104605,2.2983055,,1046.05,104605,TRUE
104701,2.2983055,,1047.01,104701,TRUE
104702,2.2983055,,1047.02,104702,TRUE
104802,2.2983055,,1048.02,104802,TRUE
104803,2.2983055,,1048.03,104803,TRUE
104804,2.2983055,,1048.04,104804,TRUE
104900,2.2983055,,1049,104900,TRUE
105001,2.6500244,,1050.01,105001,TRUE
105006,2.5561228,,1050.06,105006,TRUE
105007,3.4250748,,1050.07,105007,TRUE
105008,2.7140043,,1050.08,105008,TRUE
105201,2.5901282,,1052.01,105201,TRUE
105203,2.2983055,,1052.03,105203,TRUE
105204,2.5901282,,1052.04,105204,TRUE
105205,2.5901282,,1052.05,105205,TRUE
105403,2.2983055,,1054.03,105403,TRUE
105404,2.7692275,,1054.04,105404,TRUE
105405,2.7692275,,1054.05,105405,TRUE
105406,2.2983055,,1054.06,105406,TRUE
105502,2.2983055,,1055.02,105502,TRUE
105503,2.7692275,,1055.03,105503,TRUE
105505,2.7692275,,1055.05,105505,TRUE
105507,2.7692275,,1055.07,105507,TRUE
105508,2.7692275,,1055.08,105508,TRUE
105510,2.7692275,,1055.1,105510,TRUE
105511,2.2983055,,1055.11,105511,TRUE
105512,2.2983055,,1055.12,105512,TRUE
105513,2.7692275,,1055.13,105513,TRUE
105514,2.7692275,,1055.14,105514,TRUE
105600,2.2983055,,1056,105600,TRUE
105701,2.2983055,,1057.01,105701,TRUE
105703,2.2983055,,1057.03,105703,TRUE
105704,2.7692275,,1057.04,105704,TRUE
105800,2.2983055,,1058,105800,TRUE
105901,2.7905602,,1059.01,105901,TRUE
105902,2.2983055,,1059.02,105902,TRUE
106001,2.941153,,1060.01,106001,TRUE
106002,2.7905602,,1060.02,106002,TRUE
106004,3.1356192,,1060.04,106004,TRUE
106101,2.2983055,,1061.01,106101,TRUE
106102,2.2983055,,1061.02,106102,TRUE
106201,2.2983055,,1062.01,106201,TRUE
106202,2.2983055,,1062.02,106202,TRUE
106300,2.2983055,,1063,106300,TRUE
106400,2.2983055,,1064,106400,TRUE
106502,2.2983055,,1065.02,106502,TRUE
106503,2.2983055,,1065.03,106503,TRUE
106507,2.2983055,,1065.07,106507,TRUE
106509,2.8322749,,1065.09,106509,TRUE
106510,3.0519736,,1065.1,106510,TRUE
106511,2.2983055,,1065.11,106511,TRUE
106512,2.2983055,,1065.12,106512,TRUE
106513,2.2983055,,1065.13,106513,TRUE
106514,2.2983055,,1065.14,106514,TRUE
106515,2.2983055,,1065.15,106515,TRUE
106516,2.2983055,,1065.16,106516,TRUE
106517,3.3477395,,1065.17,106517,TRUE
106518,3.5000272,,1065.18,106518,TRUE
106600,2.5759275,,1066,106600,TRUE
106700,2.6500244,,1067,106700,TRUE
110101,3.4527481,,1101.01,110101,TRUE
110102,3.4527481,,1101.02,110102,TRUE
110202,2.9071829,,1102.02,110202,TRUE
110203,3.431406,,1102.03,110203,TRUE
110204,2.8230393,,1102.04,110204,TRUE
110301,3.4527481,,1103.01,110301,TRUE
110302,2.9071829,,1103.02,110302,TRUE
110401,2.6500244,,1104.01,110401,TRUE
110402,2.6596093,,1104.02,110402,TRUE
110500,2.7463129,,1105,110500,TRUE
110600,2.5901282,,1106,110600,TRUE
110701,2.5901282,,1107.01,110701,TRUE
110703,2.9905252,,1107.03,110703,TRUE
110704,2.5901282,,1107.04,110704,TRUE
110805,2.9905252,,1108.05,110805,TRUE
110806,2.9905252,,1108.06,110806,TRUE
110807,2.5901282,,1108.07,110807,TRUE
110808,3.5847867,,1108.08,110808,TRUE
110809,2.2983055,,1108.09,110809,TRUE
110901,2.2983055,,1109.01,110901,TRUE
110903,2.7692275,,1109.03,110903,TRUE
110905,2.2983055,,1109.05,110905,TRUE
110906,2.7692275,,1109.06,110906,TRUE
110907,2.2983055,,1109.07,110907,TRUE
111003,2.7692275,,1110.03,111003,TRUE
111005,2.941153,,1110.05,111005,TRUE
111008,3.22386,,1110.08,111008,TRUE
111010,3.3638451,,1110.1,111010,TRUE
111011,3.22386,,1110.11,111011,TRUE
111012,3.22386,,1110.12,111012,TRUE
111013,3.22386,,1110.13,111013,TRUE
111015,3.3922348,,1110.15,111015,TRUE
111016,3.3922348,,1110.16,111016,TRUE
111017,2.7692275,,1110.17,111017,TRUE
111018,3.0639739,,1110.18,111018,TRUE
111102,2.7905602,,1111.02,111102,TRUE
111103,2.2983055,,1111.03,111103,TRUE
111104,2.2983055,,1111.04,111104,TRUE
111202,3.3117082,,1112.02,111202,TRUE
111203,3.7126799,,1112.03,111203,TRUE
111204,4.0269461,,1112.04,111204,TRUE
111301,3.9994256,,1113.01,111301,TRUE
111304,4.4087682,,1113.04,111304,TRUE
111306,4.4087682,,1113.06,111306,TRUE
111307,4.4087682,,1113.07,111307,TRUE
111308,4.4087682,,1113.08,111308,TRUE
111309,4.4087682,,1113.09,111309,TRUE
111310,4.4087682,,1113.1,111310,TRUE
111311,4.4087682,,1113.11,111311,TRUE
111312,4.4087682,,1113.12,111312,TRUE
111313,4.4087682,,1113.13,111313,TRUE
111314,4.4087682,,1113.14,111314,TRUE
111402,3.4627848,,1114.02,111402,TRUE
111404,3.4627848,,1114.04,111404,TRUE
111405,3.4860137,,1114.05,111405,TRUE
111406,4.4087682,,1114.06,111406,TRUE
111407,4.4087682,,1114.07,111407,TRUE
111408,4.111392,,1114.08,111408,TRUE
111409,3.4627848,,1114.09,111409,TRUE
111505,2.4588907,,1115.05,111505,TRUE
111506,2.4588907,,1115.06,111506,TRUE
111513,3.4941485,,1115.13,111513,TRUE
111514,2.5620213,,1115.14,111514,TRUE
111516,3.4941485,,1115.16,111516,TRUE
111521,2.5620213,,1115.21,111521,TRUE
111522,2.5620213,,1115.22,111522,TRUE
111523,2.5620213,,1115.23,111523,TRUE
111524,2.5620213,,1115.24,111524,TRUE
111525,2.5620213,,1115.25,111525,TRUE
111526,2.5620213,,1115.26,111526,TRUE
111529,2.5620213,,1115.29,111529,TRUE
111530,3.4941485,,1115.3,111530,TRUE
111531,2.5620213,,1115.31,111531,TRUE
111532,2.7588749,,1115.32,111532,TRUE
111533,3.4941485,,1115.33,111533,TRUE
111534,2.7588749,,1115.34,111534,TRUE
111536,2.5620213,,1115.36,111536,TRUE
111537,2.5620213,,1115.37,111537,TRUE
111538,2.5620213,,1115.38,111538,TRUE
111539,3.4941485,,1115.39,111539,TRUE
111540,2.5620213,,1115.4,111540,TRUE
111541,3.4941485,,1115.41,111541,TRUE
111542,3.4941485,,1115.42,111542,TRUE
111543,4.4087682,,1115.43,111543,TRUE
111544,4.4087682,,1115.44,111544,TRUE
111545,2.5620213,,1115.45,111545,TRUE
111546,2.5620213,,1115.46,111546,TRUE
111547,3.4941485,,1115.47,111547,TRUE
111548,3.4941485,,1115.48,111548,TRUE
111549,4.4087682,,1115.49,111549,TRUE
111550,4.4087682,,1115.5,111550,TRUE
111551,4.4087682,,1115.51,111551,TRUE
111552,2.5620213,,1115.52,111552,TRUE
111553,2.5620213,,1115.53,111553,TRUE
113001,2.5620213,,1130.01,113001,TRUE
113002,2.5620213,,1130.02,113002,TRUE
113102,2.8759141,,1131.02,113102,TRUE
113104,2.5620213,,1131.04,113104,TRUE
113107,2.5620213,,1131.07,113107,TRUE
113108,2.5620213,,1131.08,113108,TRUE
113109,2.5620213,,1131.09,113109,TRUE
113110,2.5620213,,1131.1,113110,TRUE
113111,2.5620213,,1131.11,113111,TRUE
113112,2.5620213,,1131.12,113112,TRUE
113113,2.5620213,,1131.13,113113,TRUE
113114,2.8759141,,1131.14,113114,TRUE
113115,2.5620213,,1131.15,113115,TRUE
113116,2.5620213,,1131.16,113116,TRUE
113206,3.4527481,,1132.06,113206,TRUE
113207,3.4527481,,1132.07,113207,TRUE
113210,3.7924109,,1132.1,113210,TRUE
113212,3.4527481,,1132.12,113212,TRUE
113213,3.4527481,,1132.13,113213,TRUE
113214,3.4527481,,1132.14,113214,TRUE
113215,3.4527481,,1132.15,113215,TRUE
113216,3.4527481,,1132.16,113216,TRUE
113217,3.4527481,,1132.17,113217,TRUE
113218,3.4527481,,1132.18,113218,TRUE
113220,3.4021993,,1132.2,113220,TRUE
113221,3.4527481,,1132.21,113221,TRUE
113301,3.4527481,,1133.01,113301,TRUE
113302,3.4527481,,1133.02,113302,TRUE
113403,3.4021993,,1134.03,113403,TRUE
113404,3.3477395,,1134.04,113404,TRUE
113405,3.4021993,,1134.05,113405,TRUE
113407,3.3477395,,1134.07,113407,TRUE
113408,3.3477395,,1134.08,113408,TRUE
113509,3.3477395,,1135.09,113509,TRUE
113510,3.3477395,,1135.1,113510,TRUE
113511,3.3477395,,1135.11,113511,TRUE
113512,3.3477395,,1135.12,113512,TRUE
113513,3.3477395,,1135.13,113513,TRUE
113514,3.3477395,,1135.14,113514,TRUE
113516,3.5000272,,1135.16,113516,TRUE
113517,3.5000272,,1135.17,113517,TRUE
113518,3.3477395,,1135.18,113518,TRUE
113519,3.5000272,,1135.19,113519,TRUE
113520,3.6476011,,1135.2,113520,TRUE
113607,3.3477395,,1136.07,113607,TRUE
113610,3.7565286,,1136.1,113610,TRUE
113611,3.5480764,,1136.11,113611,TRUE
113612,3.4836452,,1136.12,113612,TRUE
113613,3.4021993,,1136.13,113613,TRUE
113618,3.3477395,,1136.18,113618,TRUE
113619,3.3477395,,1136.19,113619,TRUE
113622,3.5000272,,1136.22,113622,TRUE
113623,3.3477395,,1136.23,113623,TRUE
113624,3.3477395,,1136.24,113624,TRUE
113625,3.3477395,,1136.25,113625,TRUE
113626,3.3477395,,1136.26,113626,TRUE
113627,3.3477395,,1136.27,113627,TRUE
113628,3.3477395,,1136.28,113628,TRUE
113629,3.3477395,,1136.29,113629,TRUE
113630,3.3477395,,1136.3,113630,TRUE
113631,3.6476011,,1136.31,113631,TRUE
113632,3.6476011,,1136.32,113632,TRUE
113633,3.6476011,,1136.33,113633,TRUE
113634,3.6476011,,1136.34,113634,TRUE
113703,3.6476011,,1137.03,113703,TRUE
113705,5.1304979,,1137.05,113705,TRUE
113707,5.1304979,,1137.07,113707,TRUE
113709,3.6476011,,1137.09,113709,TRUE
113710,5.1304979,,1137.1,113710,TRUE
113711,5.1304979,,1137.11,113711,TRUE
113803,3.7924109,,1138.03,113803,TRUE
113808,3.7924109,,1138.08,113808,TRUE
113809,3.4527481,,1138.09,113809,TRUE
113810,3.4527481,,1138.1,113810,TRUE
113811,3.4527481,,1138.11,113811,TRUE
113812,3.9704611,,1138.12,113812,TRUE
113813,3.7924109,,1138.13,113813,TRUE
113814,3.7924109,,1138.14,113814,TRUE
113815,3.9704611,,1138.15,113815,TRUE
113816,3.9704611,,1138.16,113816,TRUE
113906,4.5211263,,1139.06,113906,TRUE
113907,4.5798922,,1139.07,113907,TRUE
113908,6.2238736,,1139.08,113908,TRUE
113909,5.1304979,,1139.09,113909,TRUE
113910,4.5211263,,1139.1,113910,TRUE
113911,3.9704611,,1139.11,113911,TRUE
113912,4.883328,,1139.12,113912,TRUE
113916,3.9704611,,1139.16,113916,TRUE
113917,3.7924109,,1139.17,113917,TRUE
113918,3.9704611,,1139.18,113918,TRUE
113919,3.9704611,,1139.19,113919,TRUE
113920,3.9704611,,1139.2,113920,TRUE
113921,3.9704611,,1139.21,113921,TRUE
113922,3.848587,,1139.22,113922,TRUE
113923,3.4992533,,1139.23,113923,TRUE
113924,3.9704611,,1139.24,113924,TRUE
113925,3.9704611,,1139.25,113925,TRUE
113926,3.4992533,,1139.26,113926,TRUE
113927,3.848587,,1139.27,113927,TRUE
113928,3.848587,,1139.28,113928,TRUE
113929,3.9704611,,1139.29,113929,TRUE
114003,2.7140043,,1140.03,114003,TRUE
114005,2.7140043,,1140.05,114005,TRUE
114006,2.7140043,,1140.06,114006,TRUE
114007,2.8221827,,1140.07,114007,TRUE
114008,2.8221827,,1140.08,114008,TRUE
114102,2.8540952,,1141.02,114102,TRUE
114103,3.1832347,,1141.03,114103,TRUE
114104,3.1832347,,1141.04,114104,TRUE
114203,3.8146362,,1142.03,114203,TRUE
114204,3.8146362,,1142.04,114204,TRUE
114205,3.8146362,,1142.05,114205,TRUE
114206,3.8146362,,1142.06,114206,TRUE
114207,2.9830229,,1142.07,114207,TRUE
121601,2.4588907,,1216.01,121601,TRUE
121604,2.5620213,,1216.04,121604,TRUE
121605,2.5620213,,1216.05,121605,TRUE
121606,2.4588907,,1216.06,121606,TRUE
121608,2.5620213,,1216.08,121608,TRUE
121609,2.6118524,,1216.09,121609,TRUE
121610,2.5620213,,1216.1,121610,TRUE
121611,2.7588749,,1216.11,121611,TRUE
121702,2.5620213,,1217.02,121702,TRUE
121703,2.5620213,,1217.03,121703,TRUE
121704,2.5620213,,1217.04,121704,TRUE
121903,2.5620213,,1219.03,121903,TRUE
121904,2.5620213,,1219.04,121904,TRUE
121905,2.5620213,,1219.05,121905,TRUE
121906,2.5620213,,1219.06,121906,TRUE
122001,2.5620213,,1220.01,122001,TRUE
122002,2.5620213,,1220.02,122002,TRUE
122100,2.5620213,,1221,122100,TRUE
122200,2.5620213,,1222,122200,TRUE
122300,2.5620213,,1223,122300,TRUE
122400,2.5620213,,1224,122400,TRUE
122500,2.5620213,,1225,122500,TRUE
122600,2.5620213,,1226,122600,TRUE
122700,2.5620213,,1227,122700,TRUE
122801,2.5620213,,1228.01,122801,TRUE
122802,2.5620213,,1228.02,122802,TRUE
122900,2.5620213,,1229,122900,TRUE
123000,2.5901282,,1230,123000,TRUE
123100,2.2983055,,1231,123100,TRUE
123200,2.2983055,,1232,123200,TRUE
123300,2.2983055,,1233,123300,TRUE
123400,2.2983055,,1234,123400,TRUE
123500,2.2983055,,1235,123500,TRUE
123600,2.2983055,,1236,123600,TRUE
980000,3.5000272,,9800,980000,TRUE
